timestamp;yaw;pitch;roll
81844;90.17;-36.35;-48.17
81892;89.72;-36.16;-47.93
81944;89.06;-36.15;-47.54
81992;88.71;-36.00;-47.10
82046;88.45;-35.67;-46.50
82092;88.41;-35.33;-46.08
82144;89.37;-34.46;-46.36
82192;92.15;-31.45;-47.78
82244;100.06;-22.86;-50.24
82292;109.14;-11.41;-50.29
82344;125.36;10.92;-47.22
82392;126.07;10.69;-47.86
82444;121.37;1.97;-48.18
82492;115.20;-5.75;-49.89
82546;102.40;-17.46;-49.70
82592;90.94;-25.57;-47.34
82644;72.01;-35.77;-42.90
82692;55.37;-42.09;-36.95
82744;39.76;-49.10;-24.63
82792;41.47;-49.48;-28.25
82844;61.89;-43.21;-42.72
82892;69.03;-37.10;-47.75
82942;73.11;-33.26;-48.36
82994;73.90;-33.04;-46.91
83045;73.79;-32.92;-46.31
83092;73.85;-32.79;-45.69
83144;73.47;-32.70;-45.17
83192;73.26;-32.44;-44.92
83244;73.06;-31.99;-44.48
83292;72.99;-31.69;-44.16
83344;73.35;-31.28;-43.84
83392;74.46;-30.82;-43.85
83444;79.45;-26.80;-45.93
83492;87.02;-19.61;-47.39
83546;104.15;-2.39;-46.31
83592;117.69;13.69;-44.96
83644;115.94;7.69;-44.11
83692;112.88;0.50;-45.84
83744;104.57;-12.59;-47.63
83792;94.95;-21.52;-47.73
83844;78.01;-33.52;-44.16
83892;59.96;-41.19;-37.21
83944;30.34;-44.38;-19.74
83992;22.72;-45.69;-11.97
84046;39.21;-44.45;-25.69
84092;53.78;-38.02;-34.51
84144;61.21;-33.87;-36.79
84192;62.28;-33.83;-36.01
84244;62.01;-33.49;-35.46
84292;61.86;-32.91;-35.22
84344;61.36;-32.38;-34.75
84392;61.06;-32.11;-34.33
84444;60.83;-31.94;-33.57
84492;60.76;-31.70;-33.15
84547;60.78;-31.44;-32.51
84592;61.43;-31.19;-32.33
84644;65.02;-29.94;-33.83
84692;72.04;-25.86;-35.93
84744;87.96;-15.77;-38.10
84792;103.83;-4.12;-37.12
84842;114.07;3.92;-38.17
84894;108.64;-3.75;-38.00
84942;102.13;-9.34;-39.83
84994;87.84;-18.41;-38.90
85045;74.92;-23.60;-37.04
85092;55.76;-29.89;-31.30
85144;31.47;-33.21;-22.39
85192;16.48;-34.93;-15.35
85244;12.05;-38.19;-17.99
85292;18.75;-39.72;-17.64
85344;43.29;-31.12;-28.93
85392;50.40;-27.88;-32.53
85444;52.39;-28.82;-29.26
85492;52.57;-28.92;-28.15
85546;52.56;-28.52;-27.41
85592;52.74;-28.14;-27.01
85644;52.83;-27.85;-26.40
85692;52.79;-27.67;-26.01
85744;52.80;-27.25;-25.77
85792;53.12;-26.94;-25.69
85844;54.29;-26.64;-26.23
85892;56.78;-25.43;-27.06
85944;65.68;-20.91;-29.48
85992;75.98;-15.42;-30.43
86046;96.74;-3.15;-30.95
86092;105.37;4.27;-31.88
86144;104.71;2.27;-24.56
86192;104.69;2.88;-26.34
86244;99.52;-1.21;-27.15
86292;92.63;-4.57;-28.91
86344;77.21;-11.46;-29.70
86392;64.33;-17.02;-28.18
86444;44.73;-25.65;-25.39
86492;31.55;-28.47;-24.30
86547;15.42;-31.44;-15.50
86592;13.09;-33.43;-12.19
86644;28.77;-30.12;-21.66
86692;39.46;-24.80;-27.58
86742;42.63;-23.03;-26.09
86794;43.31;-22.76;-24.65
86842;43.77;-22.51;-24.20
86894;44.20;-21.61;-24.20
86942;44.43;-20.84;-24.31
86994;44.59;-19.93;-24.44
87045;44.66;-19.61;-24.35
87092;44.79;-19.58;-24.10
87144;45.51;-20.02;-23.94
87192;46.71;-19.70;-23.94
87244;50.62;-17.74;-24.66
87292;56.94;-14.59;-25.86
87344;73.13;-5.67;-27.72
87392;90.63;4.45;-29.25
87444;101.64;7.08;-29.42
87492;97.93;1.21;-27.71
87547;85.86;-7.62;-27.69
87592;72.29;-12.77;-26.16
87644;52.43;-17.82;-22.90
87692;38.20;-21.98;-21.02
87742;21.43;-23.50;-21.75
87794;8.74;-24.53;-15.21
87842;8.60;-22.93;-14.47
87894;27.50;-16.88;-19.39
87942;34.77;-13.58;-21.23
87994;39.38;-11.19;-20.37
88045;39.69;-11.75;-19.31
88092;39.81;-11.87;-18.14
88144;39.88;-11.68;-17.05
88192;39.86;-11.49;-16.36
88244;39.72;-11.32;-15.63
88292;39.61;-11.07;-15.07
88344;39.63;-10.78;-14.42
88392;39.88;-10.67;-14.04
88444;41.57;-10.73;-13.43
88492;46.16;-10.27;-13.59
88546;62.00;-8.27;-13.94
88592;83.72;-3.49;-14.91
88644;97.26;0.44;-15.94
88692;90.16;-3.48;-13.76
88744;74.15;-7.33;-15.29
88792;59.56;-7.96;-13.64
88844;36.96;-6.43;-12.68
88892;22.20;-7.17;-12.52
88944;4.47;-10.01;-16.80
88992;354.37;-14.31;-15.29
89046;353.47;-12.56;-13.51
89092;5.23;-11.50;-13.54
89144;16.40;-2.50;-16.82
89192;19.07;0.28;-18.06
89244;19.39;0.57;-16.86
89292;19.56;0.29;-15.42
89344;19.44;0.16;-14.34
89392;19.36;0.10;-13.78
89444;19.46;-0.21;-12.79
89492;19.60;-0.48;-11.91
89546;20.21;-0.66;-10.77
89592;21.22;-0.71;-10.08
89642;23.47;-1.85;-9.24
89694;31.87;-2.32;-8.30
89742;43.83;-1.88;-7.55
89794;72.29;1.12;-7.11
89842;84.53;4.10;-11.43
89894;76.26;-0.66;-9.18
89942;66.69;-3.45;-12.46
89994;48.46;-5.92;-12.68
90045;34.03;-6.15;-12.70
90092;15.99;-8.05;-12.61
90144;359.39;-9.10;-15.94
90192;347.93;-11.67;-14.62
90244;344.36;-10.84;-14.30
90292;351.10;-10.19;-14.41
90344;7.73;-6.77;-14.41
90392;11.43;-5.90;-12.14
90444;12.45;-5.76;-10.42
90492;12.36;-5.45;-9.93
90547;12.25;-4.88;-9.58
90592;12.20;-4.54;-9.24
90642;12.16;-4.22;-8.91
90694;12.28;-3.88;-8.37
90742;12.54;-3.88;-7.77
90794;13.34;-3.86;-7.10
90842;14.71;-3.97;-6.58
90894;19.96;-4.09;-5.92
90942;28.98;-2.69;-4.87
90994;54.33;1.34;-2.85
91045;73.39;5.93;-4.83
91092;69.40;1.74;-1.47
91144;57.16;-1.84;-4.80
91192;44.36;-3.17;-4.06
91244;24.30;-1.56;-5.63
91292;10.18;-1.14;-7.20
91344;351.89;-1.75;-11.29
91392;338.95;-1.01;-15.02
91444;329.50;-4.16;-15.52
91492;337.21;-4.24;-15.48
91546;351.72;-0.00;-19.56
91592;0.85;4.82;-18.07
91642;2.34;3.98;-14.26
91694;2.87;3.56;-13.37
91742;3.14;3.68;-13.09
91794;3.38;3.64;-12.31
91842;3.46;3.53;-11.84
91894;3.71;3.26;-10.84
91942;3.91;3.19;-10.18
91994;4.45;2.87;-9.28
92045;5.67;2.21;-8.62
92092;11.10;1.09;-8.30
92144;26.49;2.27;-4.80
92192;46.91;2.47;-0.46
92244;68.95;1.02;7.59
92292;62.24;-1.51;6.43
92344;48.97;-4.15;1.92
92392;36.65;-4.63;-0.75
92444;18.00;-2.16;-6.09
92492;3.45;-2.16;-9.74
92547;345.14;-3.85;-12.53
92592;327.99;-4.72;-15.32
92644;319.09;-5.21;-15.89
92692;326.68;-3.26;-10.69
92744;341.71;1.73;-7.96
92792;349.22;8.63;-10.20
92844;352.79;12.11;-13.55
92892;353.19;12.58;-13.48
92944;353.63;12.44;-13.07
92992;353.82;12.23;-12.53
93046;353.88;11.51;-11.73
93092;353.71;10.51;-11.03
93144;353.80;9.50;-10.35
93192;354.06;8.71;-9.58
93244;355.47;6.90;-8.84
93292;0.22;6.27;-8.65
93344;14.33;6.84;-6.79
93392;32.60;5.53;-1.42
93444;60.74;5.05;0.32
93492;55.47;4.01;0.68
93546;43.07;2.92;-1.92
93592;30.32;1.84;-2.78
93644;12.41;3.78;-5.68
93692;358.51;4.25;-7.68
93742;343.73;3.50;-12.51
93794;323.41;2.63;-20.80
93842;314.31;-0.57;-19.59
93894;319.54;-0.01;-19.27
93942;332.80;4.65;-17.38
93994;342.60;6.63;-11.15
94045;344.14;5.06;-6.72
94092;344.05;4.51;-5.64
94144;343.82;4.80;-5.77
94192;343.67;4.87;-5.72
94244;343.71;4.55;-5.61
94292;343.90;3.91;-5.13
94344;344.58;2.96;-3.96
